LINK_ID,도로등급,도로명,시도,구군,연장km,차선수,승용_전일,승용_7_9,승용_18_20,승용_8,승용_9,승용_19,승용_20,버스_전일,버스_7_9,버스_18_20,버스_8,버스_9,버스_19,버스_20,화물_전일,화물_7_9,화물_18_20,화물_8,화물_9,화물_19,화물_20,합계_전일,합계_7_9,합계_18_20,합계_8,합계_9,합계_19,합계_20
1013669,일반국도,경인로,서울특별시,구로구,0.1570,6,28299,5378,4614,1917,2004,1760,1350,23979,4659,3968,1674,1761,1480,1181,1269,225,210,87,66,78,68,3052,495,437,157,177,202,102
1013670,일반국도,경인로,서울특별시,구로구,0.1570,6,27351,4372,4691,1597,1579,1522,1649,23095,3575,4126,1300,1313,1340,1485,1280,199,230,66,70,70,91,2976,598,335,231,196,112,73
1013672,일반국도,경인로,서울특별시,구로구,0.0950,6,29471,4757,4909,1811,1695,1476,1569,24995,3948,4337,1519,1450,1310,1387,1501,222,229,76,75,71,91,2975,587,344,216,170,95,91
1013673,일반국도,경인로,서울특별시,구로구,0.0950,6,28144,5235,4936,1877,1870,1714,1639,23978,4474,4290,1617,1633,1475,1453,1083,204,183,76,62,68,54,3083,556,462,184,175,170,131
1013688,일반국도,경인로,서울특별시,구로구,0.0720,6,26727,4836,4652,1749,1804,1525,1587,23130,4257,4019,1531,1641,1276,1389,1003,188,159,84,54,48,54,2595,390,474,134,108,201,144
1013689,일반국도,경인로,서울특별시,구로구,0.0720,6,26051,4200,4473,1448,1631,1496,1323,22235,3447,3996,1167,1361,1353,1182,991,144,161,50,49,52,55,2825,610,315,232,221,90,86
1013698,일반국도,경인로,서울특별시,구로구,0.5220,6,28937,4960,4933,1800,1901,1706,1488,23915,4111,4222,1517,1593,1475,1272,1484,227,233,76,72,73,91,3538,623,478,208,236,158,125
1013699,일반국도,경인로,서울특별시,구로구,0.5220,6,26202,4464,4498,1573,1458,1532,1406,22058,3718,3874,1338,1230,1325,1212,1547,284,228,96,94,75,78,2598,461,397,138,134,132,116
1013702,일반국도,경인로,서울특별시,구로구,0.8210,6,30712,5297,5100,1794,1789,1796,1506,26033,4457,4357,1544,1520,1509,1293,1761,316,271,102,120,89,90,2918,524,470,148,149,197,123
1013703,일반국도,경인로,서울특별시,구로구,0.8210,6,30866,5417,5360,1989,2033,1831,1719,25457,4439,4697,1645,1688,1617,1520,1783,288,278,98,94,93,98,3626,691,384,247,251,121,100
1013704,일반국도,경인로,서울특별시,구로구,0.6340,6,29361,4773,5001,1767,1733,1592,1777,24483,3887,4423,1467,1416,1419,1594,1453,222,225,73,73,69,87,3425,664,354,227,244,105,96
1013705,일반국도,경인로,서울특별시,구로구,0.0190,6,30735,5525,6066,1968,2501,2004,1822,26987,4809,5504,1733,2217,1797,1693,1323,259,234,91,85,86,55,2425,456,329,144,198,121,74
1013706,일반국도,경인로,서울특별시,구로구,0.0190,6,27782,6469,4276,2544,2513,1512,1310,24497,5864,3629,2290,2296,1350,1074,1317,246,229,85,86,91,51,1967,360,418,170,131,71,186
1013722,일반국도,서부간선도로,서울특별시,구로구,0.5630,2,48038,6756,6359,2334,2215,2141,2139,42345,5762,5792,2071,1866,1953,1966,251,39,51,16,11,16,15,5442,955,516,247,338,171,159
1013723,일반국도,서부간선도로,서울특별시,구로구,0.4860,2,51311,6302,6337,2115,2064,2077,2150,44921,5216,5723,1817,1754,1867,1990,245,49,45,20,13,21,12,6145,1036,570,277,297,190,148
