아파트,동명,법정동,지번,거래금액,전용면적
송림아마레스아파트,,명륜1가,2-12,"57,400",75.62
CS타워,CS타워,충신동,62-2,"16,750",22.17
리치캐슬아파트,,명륜1가,33-85,"46,000",64.68
"동문(비동,씨동)(494-0)",비,숭인동,494,"44,000",59.94
포시즌,,구기동,95-15,"54,500",98.26
노블레스빌,,평창동,155-1,"160,000",241.55
무악다온채,,무악동,66-1,"57,000",64.12
익성씨티하임,1,숭인동,1392,"11,950",15.76
크래스빌,크래스빌,평창동,46-1,"102,000",175.81
세종로대우,,내수동,167,"83,200",66.96
렉스빌,,명륜1가,19,"120,000",135.79
창신이수,101,창신동,23-816,"102,500",120.84
에비뉴청계Ⅰ,.,숭인동,1419-2,"16,900",16.01
마운틴뷰,,구기동,125-5,"59,000",74.82
신동아블루아광화문의꿈,,필운동,254,"143,000",108.95
MID그린(1동),101,창신동,601,"44,300",59.55
프라임캐슬(케이빌라트),,부암동,265-10,"58,500",88.89
힐스테이트창경궁,101동,충신동,60,"96,000",76.83
방산아파트,,명륜1가,5-89,"16,000",57.1
로얄팰리스스위트,로얄팰리스스위트,수송동,85,"35,500",39.57
엘리시아,엘리시아,평창동,66-1,"109,000",206.22
대성아파트,나동,행촌동,41-1,"27,000",30.28
롯데미도파광화문빌딩,,당주동,145,"82,000",93.36
종로동광모닝스카이,,숭인동,1421-1,"10,550",15.855
롯데캐슬천지인,롯데캐슬 천지인(천),숭인동,76,"126,000",111.73
신문로맨션,,신문로1가,238,"79,500",81.28
혜화훼미리,,혜화동,20-12,"61,000",61.38
MID그린(3동),103,창신동,601-2,"43,000",58.91
벽산블루밍평창힐스,103,평창동,45,"158,000",150.83
밀레니엄,1,평창동,179-5,"70,000",83.7
갑을아파트,,평창동,595,"20,000",32.54
숭인상가,,숭인동,204-11,"62,500",78.75
경희궁의아침4단지,,내수동,73,"194,000",124.17
유성,,창신동,640-76,"44,700",59.85
삼전솔하임2차,1,숭인동,296-19,"11,500",16.67
부암스카이뷰,,부암동,218-1,"59,500",81.08
경희궁파크팰리스,103,내수동,95,"170,000",103.77
경희궁의아침3단지,,내수동,72,"255,000",174.55
삼전솔하임4차,삼전솔하임4차,숭인동,318-2,"13,000",15.09
도시그린빌라,,숭인동,181-121,"37,800",58.79
효자,,통인동,5-1,"22,000",61.49
롯데캐슬로잔,105,평창동,108,"232,000",219.775
충무,,묵정동,11-2,"50,000",54.18
남산트라팰리스,남산트라팰리스,남대문로5가,827,"210,000",148.47
청계리버팰리스B,청계리버팰리스B,황학동,2015,"26,500",25.5
장충레지던스,,장충동1가,106-1,"140,000",156.08
청구드림,,신당동,290-90,"71,000",84.94
명경,,신당동,432-657,"35,500",59.22
란스미어,,신당동,404-2,"72,000",83.87
장충,,장충동2가,193-29,"12,000",31.24
남산FORESTHOUSE,남산 FOREST HOUSE,신당동,432-1666,"390,000",177.79
(432-904),,신당동,432-904,"21,900",56.66
인성아트빌,,신당동,432-502,"14,000",59.6
서울역디오빌,,만리동1가,62-7,"71,000",56.66
동대문솔하임,,흥인동,8,"23,000",19.67
별장,,회현동1가,147-20,"28,000",38.71
바비엥3,바비엥3,순화동,215,"53,000",53.63
성요셉,,중림동,149,"20,000",41.32
황학동코아루,황학동 코아루,황학동,882,"88,000",84.96
이지-빌,이지-빌,회현동1가,100-12,"30,600",47.88
골드캐슬Ⅲ,골드캐슬Ⅲ,황학동,1743,"35,000",32.75
청계리버팰리스A,,황학동,2033,"30,000",26.35
진양상가,,충무로4가,120-3,"98,500",107.9
삼풍,,회현동1가,146-1,"50,000",66.16
이지마루충무로,,충무로5가,36-19,"33,000",28.43
동산,,신당동,432-579,"25,000",54.95
프라임1,,신당동,432-1632,"68,500",82.17
정동,,정동,18-1,"72,000",46.26
충무로엘크루메크로시티2차,충무로엘크루메트로시티2,충무로5가,36-2,"20,300",22.75
힐스테이트세운센트럴1단지,힐스테이트 세운 센트럴 1단지,입정동,277,"95,000",49.4486
충무로헤센스마트,충무로 헤센 스마트,충무로5가,90,"25,800",21.04
신신(1차),,신당동,432-1972,"21,900",38.93
남산정은스카이,,신당동,366-126,"144,500",143.049
하이,,신당동,113-7,"73,000",80.2
청구103동,,신당동,841-12,"28,450",41.16
인현상가/신성아파트,,인현동2가,192-30,"39,700",42.31
쌍용남산플래티넘,,회현동2가,87,"230,000",158.97
