LINK_ID,도로등급,도로명,시도,구군,연장km,차선수,전일,7-9시,18-20시
1013669,일반국도,경인로,서울특별시,구로구,0.157,6,28299,5378,4614
1013670,일반국도,경인로,서울특별시,구로구,0.157,6,27351,4372,4691
1013672,일반국도,경인로,서울특별시,구로구,0.095,6,29471,4757,4909
1013673,일반국도,경인로,서울특별시,구로구,0.095,6,28144,5235,4936
1013688,일반국도,경인로,서울특별시,구로구,0.072,6,26727,4836,4652
1013689,일반국도,경인로,서울특별시,구로구,0.072,6,26051,4200,4473
1013698,일반국도,경인로,서울특별시,구로구,0.522,6,28937,4960,4933
1013699,일반국도,경인로,서울특별시,구로구,0.522,6,26202,4464,4498
1013702,일반국도,경인로,서울특별시,구로구,0.821,6,30712,5297,5100
1013703,일반국도,경인로,서울특별시,구로구,0.821,6,30866,5417,5360
1013704,일반국도,경인로,서울특별시,구로구,0.634,6,29361,4773,5001
1013705,일반국도,경인로,서울특별시,구로구,0.019,6,30735,5525,6066
1013706,일반국도,경인로,서울특별시,구로구,0.019,6,27782,6469,4276
1013722,일반국도,서부간선도로,서울특별시,구로구,0.563,2,48038,6756,6359
1013723,일반국도,서부간선도로,서울특별시,구로구,0.486,2,51311,6302,6337
1013724,일반국도,서부간선도로,서울특별시,구로구,0.654,2,46780,6499,6618
1013727,일반국도,경인로,서울특별시,구로구,0.025,10,34198,5960,6070
1013728,일반국도,경인로,서울특별시,구로구,0.025,10,39672,6016,6321
1013729,일반국도,경인로,서울특별시,구로구,0.226,10,34951,5986,6112
1013730,일반국도,경인로,서울특별시,구로구,0.226,10,40626,5919,7413
1013793,일반국도,경인로,서울특별시,구로구,1.358,6,23887,4001,4606
1013794,일반국도,서부간선도로,서울특별시,구로구,0.258,2,50664,6290,6409
1013917,일반국도,경인로,서울특별시,구로구,0.035,8,31767,6178,5384
1013918,일반국도,경인로,서울특별시,구로구,0.035,8,31305,5518,5630
1013919,일반국도,경인로,서울특별시,구로구,0.019,10,33330,6323,5836
1013920,일반국도,경인로,서울특별시,구로구,0.019,10,33400,6331,5975
1013946,일반국도,서부간선도로,서울특별시,구로구,0.792,2,46827,7040,6840
1014014,일반국도,개화동로,서울특별시,강서구,0.5,2,37327,6307,6513
1014036,일반국도,개화동로,서울특별시,강서구,0.28,4,40179,7165,5742
1014046,일반국도,공항대로,서울특별시,강서구,1.172,4,30728,5312,5614
1014058,일반국도,방화대로,서울특별시,강서구,0.048,8,15721,2674,3694
1014059,일반국도,방화대로,서울특별시,강서구,0.048,8,29154,6212,5273
1014073,일반국도,공항대로,서울특별시,강서구,0.077,4,30991,5496,5286
1014076,일반국도,공항대로,서울특별시,강서구,0.05,4,31186,7125,5164
1014239,일반국도,김포대로,서울특별시,강서구,0.615,4,23489,3835,4513
1014272,일반국도,공항대로,서울특별시,강서구,0.067,8,26452,5004,4623
1014273,일반국도,공항대로,서울특별시,강서구,0.067,8,28061,5827,4763
1014289,일반국도,공항대로,서울특별시,강서구,0.027,8,25397,4395,4944
1014290,일반국도,공항대로,서울특별시,강서구,0.027,8,21486,4352,4632
1014295,일반국도,인천국제공항고속도로,서울특별시,강서구,0.01,5,16721,3518,3519
1014296,일반국도,인천국제공항고속도로,서울특별시,강서구,0.01,5,13660,3015,2061
1014519,일반국도,인천국제공항고속도로,서울특별시,강서구,0.09,5,13116,2905,2124
1014520,일반국도,인천국제공항고속도로,서울특별시,강서구,0.09,5,14853,3306,3051
1014574,일반국도,벌말로,서울특별시,강서구,0.294,4,24699,4971,4182
1014793,일반국도,개화동로,서울특별시,강서구,0.259,3,39594,5864,8389
1014920,일반국도,개화동로,서울특별시,강서구,0.306,3,25750,4858,5749
1015100,일반국도,개화동로,서울특별시,강서구,0.195,3,33753,6043,6181
1016585,일반국도,경인로,서울특별시,구로구,0.439,4,22534,4423,3923
1016586,일반국도,경인로,서울특별시,구로구,0.439,4,23707,4342,3927
1016587,일반국도,서부간선도로,서울특별시,금천구,0.683,2,47008,7781,6277
1016588,일반국도,서부간선도로,서울특별시,금천구,0.51,2,44027,5392,6290
1016766,일반국도,시흥대로,서울특별시,금천구,0.727,5,37618,6366,7223
1016860,일반국도,서부간선도로,서울특별시,금천구,0.415,2,52184,6310,6682
1016861,일반국도,서부간선도로,서울특별시,금천구,0.475,2,45300,6132,6442
1017135,일반국도,증산로,서울특별시,은평구,0.091,5,34215,5186,6365
1017136,일반국도,증산로,서울특별시,은평구,0.091,5,28278,4176,4443
1017137,일반국도,증산로,서울특별시,은평구,0.218,6,32294,4408,5304
1017138,일반국도,증산로,서울특별시,은평구,0.976,6,27929,5348,4491
1017146,일반국도,농수산시장로,서울특별시,마포구,0.429,6,24544,4650,4351
1017147,일반국도,농수산시장로,서울특별시,마포구,0.429,6,23006,3783,4232
1017162,일반국도,성산로,서울특별시,서대문구,0.487,8,38032,6515,6427
1017163,일반국도,성산로,서울특별시,서대문구,0.487,8,41654,5485,7991
1017164,일반국도,종로,서울특별시,종로구,0.313,3,26088,4849,4569
1017166,일반국도,사직로,서울특별시,종로구,0.157,6,31502,5290,6039
1017167,일반국도,사직로,서울특별시,종로구,0.146,7,33520,5813,5360
1017184,일반국도,성산로,서울특별시,종로구,0.643,4,30697,4419,5867
1017185,일반국도,성산로,서울특별시,종로구,0.643,4,35241,7137,5470
1017186,일반국도,사직로,서울특별시,종로구,0.035,6,31826,6232,5856
1017187,일반국도,사직로,서울특별시,종로구,0.035,6,34077,6341,5478
1017188,일반국도,성산로,서울특별시,서대문구,0.093,4,27508,4324,5343
1017189,일반국도,성산로,서울특별시,서대문구,0.093,4,30267,6072,4774
1017191,일반국도,종로,서울특별시,종로구,0.186,3,25808,4718,4696
1017194,일반국도,새문안로,서울특별시,종로구,0.767,4,28312,5354,4937
1017195,일반국도,세종대로,서울특별시,종로구,0.27,3,29227,4787,6135
1017211,일반국도,종로,서울특별시,종로구,0.395,6,23164,4131,3788
1017266,일반국도,공항대로,서울특별시,양천구,0.226,4,54488,11711,7467
1017350,일반국도,선유로,서울특별시,마포구,0.158,3,40845,7938,7702
1017362,일반국도,양화로,서울특별시,마포구,0.978,4,33924,5908,5759
1017374,일반국도,성산로,서울특별시,마포구,0.016,4,72978,11893,8280
1017375,일반국도,성산로,서울특별시,마포구,0.203,4,21495,4211,4524
1017376,일반국도,성산로,서울특별시,마포구,0.203,4,51951,8278,7064
1017377,일반국도,농수산시장로,서울특별시,마포구,0.096,3,20734,3586,3857
1017378,일반국도,농수산시장로,서울특별시,마포구,0.096,3,17767,3658,3693
1017400,일반국도,성산로,서울특별시,서대문구,1.023,4,33765,6304,5783
1017401,일반국도,성산로,서울특별시,서대문구,1.023,4,33033,5339,6136
1017402,일반국도,성산로,서울특별시,서대문구,0.176,4,38209,6135,7471
1017410,일반국도,신촌로,서울특별시,마포구,0.498,4,31203,5905,5227
