,apartment,lat,lng,total_traffic
0,송림아마레스아파트,37.5906900199854,126.997715424817,1785017
1,리치캐슬아파트,37.588559805649,126.997822939006,1355409
2,노블레스빌,37.6074383271574,126.970249130338,1159670
3,무악다온채,37.5761445658622,126.957925898536,369389
4,크래스빌,37.6085203551485,126.974203406118,1159670
5,창신이수,37.5779927812929,127.014696141319,598270
6,신동아블루아광화문의꿈,37.5757916307873,126.9699712435,605847
7,프라임캐슬(케이빌라트),37.5922473334639,126.964034487443,827928
8,힐스테이트창경궁,37.5753171996632,127.004674395734,1281883
9,엘리시아,37.6096871387295,126.975919729895,1159670
10,롯데미도파광화문빌딩,37.5713383634284,126.973705262923,476780
11,롯데캐슬천지인,37.5738517068991,127.016177810477,598270
12,신문로맨션,37.5713508933218,126.972934723706,476780
13,혜화훼미리,37.5881837465918,127.001066673,1661659
14,벽산블루밍평창힐스,37.6082143705206,126.973755821661,1159670
15,밀레니엄,37.6070004694426,126.967600127567,1159670
16,경희궁의아침4단지,37.5726207759088,126.972245219787,476780
17,경희궁의아침3단지,37.573660668544,126.972093823848,476780
18,롯데캐슬로잔,37.6099791717614,126.977399664316,1159670
19,남산트라팰리스,37.5538334378845,126.975790250995,404003
20,장충레지던스,37.559494681597,127.007258086888,841911
21,청구드림,37.561044379755,127.015749929916,1175115
22,란스미어,37.5601165654821,127.011578357047,1061697
23,남산FORESTHOUSE,37.5491436025733,127.004825079267,995399
24,황학동코아루,37.566708034837,127.022477348128,1187689
25,진양상가,37.562402711937,126.995939188779,760084
26,삼풍,37.5562258738598,126.98252007976,404379
27,프라임1,37.5488702757504,127.006001621664,995399
28,남산정은스카이,37.5494498739986,127.007787174305,1112592
29,하이,37.5639596860601,127.017378274867,1187689
30,쌍용남산플래티넘,37.5594031619007,126.983218672682,562737
31,서울역한라비발디센트럴,37.5550897722338,126.965563662247,413007
32,브라운스톤서울,37.5606358272505,126.968341179709,236445
33,덕수궁롯데캐슬,37.5635913526827,126.97037127234,199121
34,도현블랑빌,37.5480424320662,127.00611980975,995399
35,미주B,37.5200740016953,126.969441335164,1095348
36,뉴후암,37.5512636713244,126.975211553869,404003
37,태원팰리스,37.5424968602375,126.964300661846,361373
38,형우베스트빌3차,37.5345512509341,127.010750957657,976890
39,이안용산프리미어,37.5386874768496,126.970318445052,421492
40,베르체,37.5426325782396,126.963506256197,642405
41,명남아띠팰리스,37.5492101060733,126.978868899876,404003
42,PRIMAVERAVILL,37.5228212286831,126.998496015642,1132179
43,아인하우스,37.5418553659449,126.963183696919,361373
44,트윈빌비동,37.5342584145129,127.010872655692,825705
45,용산시티파크(1단지),37.5251113403049,126.969145035914,493783
46,파르크한남,37.5314451625387,127.011467348354,825705
47,철우,37.5235496234232,126.969108800283,493783
48,신주에지앙,37.5494338815745,126.980242085051,404003
49,이안용산1차(103동),37.5378847050012,126.970395589933,421492
50,이안용산1차(102동),37.5380669235673,126.969827066954,421492
51,서울숲한양현대,37.5455115738395,127.047989091289,1732092
52,청계대주파크빌,37.5674713084173,127.031386204827,1258796
53,YM프라젠,37.5613197994654,127.058676387507,1842863
54,강변청구3,37.5353810387593,127.053956889626,2207880
55,무학현대,37.5611862139671,127.027854212704,1341748
56,덕현해밀,37.5646311457744,127.053149788091,1809270
57,서울숲해오름(717-0),37.5479398476712,127.049536440857,1826216
58,갤러리아포레,37.5457843454815,127.042476851287,1672058
59,강변동양,37.5376921057983,127.046314602996,2050286
60,히페리온리버팰리스,37.5487159907398,127.063427393682,1820048
61,서울숲대림,37.5420589174559,127.04532053837,2093569
62,금호자이2차,37.5503795490386,127.021916573855,1248181
63,롯데캐슬파크,37.5460483051776,127.05595844119,1872239
64,흥화빌라트,37.5464751222565,127.109258026428,978376
65,강변현대하이엘,37.534151371835,127.09221581351,1039176
66,웰빙,37.5620822524853,127.085486843741,2219293
67,광진We’vePark,37.5484379045958,127.071086917603,2032424
68,두리,37.5574540546161,127.084047724818,2115281
69,동우아파트,37.5524811588351,127.092969690197,2123236
70,광진스위트엠아파트,37.5458336997714,127.074526056376,2032030
71,현대13차폴라트리움,37.539418435938,127.094611329543,1162797
72,세림리오빌,37.5393049079531,127.091990996614,1286860
73,자양동현대,37.5281164204926,127.082406512435,1059643
74,로얄동아,37.5282016302996,127.081403123975,1059643
75,현대팰리스,37.5432620368722,127.08865462063,2125762
76,구의동현진에버빌,37.5427354148426,127.092744631057,2125762
77,한영해시안,37.5397274158194,127.063308892316,1312304
78,강변에스케이뷰,37.5386707378926,127.090182113114,1659676
79,대보아파트(798-3),37.5368707420832,127.078004385396,1580604
